species name,hexcode,provenance,growth_form
Acmispon glaber,ACMGLA,native,shrub
Amaranthus albus,AMAALB,exotic,forb
Amsinckia menziesii,AMSMEN,native,forb
Brassica tournefortii,BRATOR,exotic,forb
Bromus diandrus,BRODIA,exotic,grass
Bromus madritensis,BROMAD,exotic,grass
Calandrinia ciliata,CALCIL,native,forb
Crassula connata,CRACON,native,succulent
Croton setigerus,CROSET,native,forb
Cryptantha intermedia,CRYINT,native,forb
Eriastrum sapphirinum,ERISAP,native,forb
Erodium botrys,EROBOT,exotic,forb
Erodium cicutarium,EROCIC,exotic,forb
Erodium moschatum,EROMOS,exotic,forb
Eucrypta chrysanthemifolia,EUCCHR,native,forb
Gilia angelensis,GILANG,native,forb
Hordeum murinum,HORMUR,exotic,grass
Lupinus bicolor,LUPBIC,native,forb
Lupinus sparsiflorus,LUPSPA,native,forb
Lupinus truncatus,LUPTRU,native,forb
Nemophila menziesii,NEMMEN,native,forb
Pectocarya linearis,PECLIN,native,forb
Phacelia distans,PHADIS,native,forb
Phacelia ramosissima,PHARAM,native,forb
Plagiobothrys collinus,PLACOL,native,forb
Pseudognaphalium californicum,PSECAL,native,forb
Salsola tragus,SALTRA,exotic,forb
Schismus barbatus,SCHBAR,exotic,grass
Sisymbrium erysimoides,SISERY,exotic,forb
Sonchus oleraceus,SONOLE,exotic,forb
Stephanomeria exigua,STEEXI,native,forb
Uropappus lindleyi,UROLIN,native,forb
Vulpia myuros,VULMYU,exotic,grass