row,column,position,treatment
A,1,U,raked
A,2,U,unraked
A,3,U,raked
A,4,U,unraked
A,5,U,raked
A,6,U,unraked
A,7,U,raked
A,8,U,unraked
A,9,U,raked
A,10,U,unraked
A,1,L,unraked
A,2,L,raked
A,3,L,unraked
A,4,L,raked
A,5,L,unraked
A,6,L,raked
A,7,L,unraked
A,8,L,raked
A,9,L,unraked
A,10,L,raked
C,1,U,raked
C,2,U,unraked
C,3,U,raked
C,4,U,unraked
C,5,U,raked
C,6,U,unraked
C,7,U,raked
C,8,U,unraked
C,9,U,raked
C,10,U,unraked
C,1,L,unraked
C,2,L,raked
C,3,L,unraked
C,4,L,raked
C,5,L,unraked
C,6,L,raked
C,7,L,unraked
C,8,L,raked
C,9,L,unraked
C,10,L,raked
E,1,U,raked
E,2,U,unraked
E,3,U,raked
E,4,U,unraked
E,5,U,raked
E,6,U,unraked
E,7,U,raked
E,8,U,unraked
E,9,U,raked
E,10,U,unraked
E,1,L,unraked
E,2,L,raked
E,3,L,unraked
E,4,L,raked
E,5,L,unraked
E,6,L,raked
E,7,L,unraked
E,8,L,raked
E,9,L,unraked
E,10,L,raked
G,1,U,raked
G,2,U,unraked
G,3,U,raked
G,4,U,unraked
G,5,U,raked
G,6,U,unraked
G,7,U,raked
G,8,U,unraked
G,9,U,raked
G,10,U,unraked
G,1,L,unraked
G,2,L,raked
G,3,L,unraked
G,4,L,raked
G,5,L,unraked
G,6,L,raked
G,7,L,unraked
G,8,L,raked
G,9,L,unraked
G,10,L,raked
I,1,U,raked
I,2,U,unraked
I,3,U,raked
I,4,U,unraked
I,5,U,raked
I,6,U,unraked
I,7,U,raked
I,8,U,unraked
I,9,U,raked
I,10,U,unraked
I,1,L,unraked
I,2,L,raked
I,3,L,unraked
I,4,L,raked
I,5,L,unraked
I,6,L,raked
I,7,L,unraked
I,8,L,raked
I,9,L,unraked
I,10,L,raked